,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower,Call
334,335,TITAN,EQ,2018-09-14,826.45,838.0,852.0,829.25,842.7,842.6,842.83,3329172,2805920993.2,83690,1207023,36.26,2018,9,1.95,Positive,869.4107142857143,25.87863076401139,921.1679758137371,817.6534527576915,Hold Short / Liquidate Buy
335,336,TITAN,EQ,2018-09-17,842.6,834.8,838.0,816.7,819.0,823.45,826.26,2843632,2349578885.2,70120,529914,18.64,2018,9,-2.27,Negative,864.5928571428573,27.77904479406348,920.1509467309843,809.0347675547303,Hold Short / Liquidate Buy
336,337,TITAN,EQ,2018-09-18,823.45,819.0,843.95,818.65,824.5,824.9,833.14,3331397,2775520266.6,81462,828603,24.87,2018,9,0.18,Slight,860.0642857142858,28.76718502158647,917.5986557574588,802.5299156711128,Hold Short / Liquidate Buy
337,338,TITAN,EQ,2018-09-19,824.9,812.5,829.8,786.1,827.95,823.6,813.14,5347338,4348146338.3,141379,1270234,23.75,2018,9,-0.16,Slight,855.8357142857145,29.50953189272449,914.8547780711635,796.8166505002655,Hold Short / Liquidate Buy
338,339,TITAN,EQ,2018-09-21,823.6,834.2,836.65,779.2,800.55,800.6,813.6,4259892,3465854603.05,106282,1317051,30.92,2018,9,-2.79,Negative,850.2821428571431,32.14493982874527,914.5720225146337,785.9922631996525,Hold Short / Liquidate Buy
339,340,TITAN,EQ,2018-09-24,800.6,801.8,805.0,773.35,791.0,791.1,787.04,3244812,2553796187.2,90884,957246,29.5,2018,9,-1.19,Negative,843.0821428571431,33.371548263704014,909.8252393845512,776.3390463297351,Hold Short / Liquidate Buy
340,341,TITAN,EQ,2018-09-25,791.1,791.0,814.3,778.15,794.95,796.85,796.66,3150095,2509561952.15,126060,791619,25.13,2018,9,0.73,Slight positive,834.8035714285717,28.82559936188083,892.4547701523334,777.15237270481,Hold Short / Liquidate Buy
341,342,TITAN,EQ,2018-09-26,796.85,812.0,820.0,802.15,817.0,814.7,812.15,4080359,3313877134.05,109764,2061501,50.52,2018,9,2.24,Positive,830.0750000000004,25.970602833563483,882.0162056671273,778.1337943328734,Hold Short / Liquidate Buy
342,343,TITAN,EQ,2018-09-27,814.7,833.6,843.65,815.5,821.15,821.45,831.5,7668506,6376363447.0,140295,1788441,23.32,2018,9,0.83,Slight positive,827.0428571428575,24.130549239369564,875.3039556215966,778.7817586641185,Hold Short / Liquidate Buy
343,344,TITAN,EQ,2018-09-28,821.45,823.1,831.15,794.35,804.1,805.6,810.88,3145969,2551006766.5,120262,1145755,36.42,2018,9,-1.93,Negative,822.646428571429,21.7508573154318,866.1481432022927,779.1447139405655,Hold Short / Liquidate Buy
344,345,TITAN,EQ,2018-10-01,805.6,800.0,814.4,782.0,812.25,809.75,798.26,2445752,1952352488.95,57498,579622,23.7,2018,10,0.52,Slight positive,818.5250000000004,17.69712873278718,853.9192574655748,783.1307425344261,Hold Short / Liquidate Buy
