Date,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2018-10-04,2798,DHFL,EQ,2018-10-04,317.65,305.0,313.9,291.0,295.25,297.3,302.02,20356991,6148188192.15,221049,3220824,15.82,2018,10,-6.41,Among top losers,-0.025245901639344225,0.0786941580756013,-0.2160000000000018,9.277606372335471,-1
2018-10-05,2814,DHFL,EQ,2018-10-05,297.3,292.0,305.8,265.0,268.25,275.15,290.07,15228207,4417277156.2,167664,3612397,23.72,2018,10,-7.45,Bear drop,-0.05770547945205487,0.15396226415094344,-0.7080000000000016,9.65175217253322,-1
2018-10-08,2830,DHFL,EQ,2018-10-08,275.15,274.0,274.0,206.4,219.05,223.1,238.45,54962924,13105898733.7,636018,8219753,14.96,2018,10,-18.92,Bear drop,-0.18576642335766425,0.3275193798449612,-3.4420000000000015,12.711202539492469,1
2018-10-09,2846,DHFL,EQ,2018-10-09,223.1,214.6,257.45,193.4,246.0,245.05,228.56,55650755,12719459625.4,682659,5613559,10.09,2018,10,9.84,Bull run,0.14189189189189197,0.3311789038262667,-4.642000000000001,10.532268036847514,1
2018-10-10,2861,DHFL,EQ,2018-10-10,245.05,256.0,292.7,250.0,286.3,284.5,277.52,51547574,14305714317.3,593960,6915330,13.42,2018,10,16.1,Bull run,0.111328125,0.17079999999999995,-1.3680000000000014,14.15305161440457,1
2018-10-11,2874,DHFL,EQ,2018-10-11,284.5,256.05,299.9,242.0,289.95,289.65,280.75,48305144,13561657306.8,528446,6627982,13.72,2018,10,1.81,Positive,0.13122437024018732,0.23925619834710735,0.27599999999999875,13.896040083419441,1
2018-10-12,2889,DHFL,EQ,2018-10-12,289.65,302.05,312.0,290.0,290.05,292.25,299.83,19863839,5955821671.0,246541,2261724,11.39,2018,10,0.9,Slight positive,-0.032444959443800735,0.07586206896551724,1.9459999999999986,13.22075565162596,-1
2018-10-15,2903,DHFL,EQ,2018-10-15,292.25,292.0,295.3,270.1,281.9,281.6,279.26,22857830,6383246593.1,280923,1892017,8.28,2018,10,-3.64,Among top losers,-0.03561643835616431,0.09329877823028503,5.001999999999999,7.878313271252911,-1
2018-10-16,2917,DHFL,EQ,2018-10-16,281.6,285.0,289.8,266.45,267.3,268.8,276.64,23048046,6375976824.75,266926,4764140,20.67,2018,10,-4.55,Among top losers,-0.056842105263157854,0.08763370238318643,2.1239999999999988,8.286907143198828,-1
2018-10-17,2928,DHFL,EQ,2018-10-17,268.8,272.0,274.3,234.2,235.6,235.9,245.72,41149209,10111175429.3,444380,6407667,15.57,2018,10,-12.24,Bear drop,-0.1327205882352941,0.1712211784799318,-3.5440000000000014,5.591424684282154,-1
2018-10-19,2944,DHFL,EQ,2018-10-19,235.9,228.0,243.75,205.0,210.1,210.55,216.75,53396086,11573833453.05,568303,9499736,17.79,2018,10,-10.75,Bear drop,-0.07653508771929819,0.18902439024390244,-6.056000000000001,5.402927909939184,-1
2018-10-22,2961,DHFL,EQ,2018-10-22,210.55,200.0,216.2,185.6,187.0,188.4,198.38,52073420,10330363195.25,553243,9633496,18.5,2018,10,-10.52,Bear drop,-0.05799999999999997,0.16487068965517238,-8.34,3.9441285476008257,1
2018-10-23,2977,DHFL,EQ,2018-10-23,188.4,182.9,207.0,178.65,194.85,192.9,193.19,50834137,9820528336.05,481709,4147550,8.16,2018,10,2.39,Positive,0.05467468562055768,0.1586901763224181,-7.134,6.082666356130328,-1
2018-10-24,2993,DHFL,EQ,2018-10-24,192.9,199.0,204.95,185.05,190.0,190.3,193.07,34710424,6701676091.5,318635,2354615,6.78,2018,10,-1.35,Negative,-0.04371859296482406,0.10753850310726817,-6.4940000000000015,6.571242652649482,-1
2018-10-25,3009,DHFL,EQ,2018-10-25,190.3,185.0,188.0,176.1,184.35,183.85,181.7,27268536,4954689268.5,265647,3059598,11.22,2018,10,-3.39,Among top losers,-0.006216216216216247,0.06757524134014768,-4.724000000000001,5.78097569619522,1
2018-10-26,3021,DHFL,EQ,2018-10-26,183.85,180.0,195.3,177.0,184.15,184.1,186.6,28089176,5241324630.75,258364,3720813,13.25,2018,10,0.14,Slight,0.022777777777777748,0.10338983050847464,-2.5460000000000007,4.932193224114381,1
2018-10-29,3036,DHFL,EQ,2018-10-29,184.1,187.0,189.4,180.3,184.3,185.2,184.89,19037602,3519840025.2,175876,3166165,16.63,2018,10,0.6,Slight positive,-0.009625668449197922,0.050471436494730966,-0.32200000000000095,2.173009433941742,1
2018-10-30,3053,DHFL,EQ,2018-10-30,185.2,185.1,219.7,185.1,208.5,207.1,204.43,49394410,10097745294.3,456805,6305268,12.77,2018,10,11.83,Bull run,0.11885467314964884,0.1869259859535386,1.565999999999999,5.9451938572261716,1
2018-10-31,3066,DHFL,EQ,2018-10-31,207.1,213.4,227.8,211.4,224.8,225.1,220.37,38964819,8586566925.4,361508,4079710,10.47,2018,10,8.69,Bull run,0.05482661668228673,0.07757805108798489,3.5739999999999994,6.392756056662869,1
2018-11-01,3080,DHFL,EQ,2018-11-01,225.1,229.4,241.8,227.05,230.5,231.55,234.34,25104360,5882875965.15,227479,2804289,11.17,2018,11,2.87,Positive,0.009372275501307785,0.06496366439110328,4.826,5.187246861293552,-1
2018-11-02,3094,DHFL,EQ,2018-11-02,231.55,235.0,240.0,226.5,231.35,231.4,233.41,24138633,5634240205.15,225165,3571412,14.8,2018,11,-0.06,Slight,-0.01531914893617019,0.059602649006622516,4.786,5.2329848079274806,-1
2018-11-05,3107,DHFL,EQ,2018-11-05,231.4,232.0,237.0,203.1,219.5,220.35,219.85,33151077,7288409417.7,298819,2750498,8.3,2018,11,-4.78,Among top losers,-0.050215517241379334,0.16691285081240773,3.7099999999999995,6.665834531399636,1
2018-11-06,3120,DHFL,EQ,2018-11-06,220.35,223.55,234.5,223.55,227.6,228.0,228.88,14939699,3419451264.95,132667,1287674,8.62,2018,11,3.47,Among top gainers,0.01990606128382907,0.04898233057481542,2.0379999999999994,4.94668272683824,1
2018-11-07,3132,DHFL,EQ,2018-11-07,228.0,230.3,235.0,229.65,230.6,230.5,231.0,2337674,539998862.45,28349,501029,21.43,2018,11,1.1,Positive,0.0008684324793746792,0.023296320487698648,0.5199999999999992,3.27825410851566,1
2018-11-09,3138,DHFL,EQ,2018-11-09,230.5,232.0,233.9,227.0,233.0,232.65,230.76,10177259,2348512834.8,91508,1266459,12.44,2018,11,0.93,Slight positive,0.002801724137931059,0.030396475770925135,0.13199999999999923,3.0364732832679104,1
2018-11-12,3148,DHFL,EQ,2018-11-12,232.65,235.0,249.7,232.05,240.2,241.55,240.65,23851149,5739825761.75,211483,2874737,12.05,2018,11,3.83,Among top gainers,0.027872340425531963,0.07606119370825243,0.9099999999999993,3.4457437513546774,-1
2018-11-13,3163,DHFL,EQ,2018-11-13,241.55,240.0,243.55,231.4,237.05,237.2,236.69,12943050,3063538158.25,112714,1263432,9.76,2018,11,-1.8,Negative,-0.011666666666666714,0.0525064822817632,1.5059999999999993,2.2740118733198833,1
2018-11-14,3176,DHFL,EQ,2018-11-14,237.2,239.1,244.9,236.55,237.5,238.9,240.91,10653510,2566530844.4,96826,1267770,11.9,2018,11,0.72,Slight positive,-0.0008364700961940135,0.03529909110124707,0.9559999999999992,1.995778043771352,1
2018-11-15,3187,DHFL,EQ,2018-11-15,238.9,239.0,246.7,228.4,242.85,244.35,238.56,12359848,2948508704.05,149586,1728512,13.98,2018,11,2.28,Positive,0.0223849372384937,0.08012259194395789,1.191999999999999,2.0848429197423495,-1
2018-11-16,3198,DHFL,EQ,2018-11-16,244.35,245.45,247.0,222.35,226.0,225.35,232.35,16251271,3776008130.65,187438,2970911,18.28,2018,11,-7.78,Bear drop,-0.08189040537787735,0.1108612547785024,-0.5500000000000009,4.545371271964459,1
2018-11-19,3212,DHFL,EQ,2018-11-19,225.35,227.0,235.0,225.7,231.55,231.4,231.37,9529435,2204864558.4,102558,1045674,10.97,2018,11,2.68,Positive,0.0193832599118943,0.04120513956579536,-0.7800000000000009,4.290268056893392,-1
2018-11-20,3222,DHFL,EQ,2018-11-20,231.4,229.65,241.45,220.0,226.25,225.3,229.94,22120570,5086479059.55,211990,2115391,9.56,2018,11,-2.64,Negative,-0.01894186806009142,0.09749999999999995,-0.948000000000001,4.356135902379516,1
2018-11-21,3233,DHFL,EQ,2018-11-21,225.3,227.7,238.8,224.25,235.0,234.85,232.4,24463945,5685363299.55,233919,2083019,8.51,2018,11,4.24,Among top gainers,0.03140096618357491,0.06488294314381277,-0.24400000000000088,4.938590892147253,-1
2018-11-22,3244,DHFL,EQ,2018-11-22,234.85,238.65,242.85,230.0,231.4,232.75,237.49,20766936,4931962095.15,196347,1939215,9.34,2018,11,-0.89,Slight negative,-0.024722396815420093,0.05586956521739128,-0.8780000000000008,4.7327497292799885,-1
2018-11-26,3255,DHFL,EQ,2018-11-26,232.75,234.9,234.9,218.6,222.25,222.4,223.72,12876386,2880719462.25,112456,1655914,12.86,2018,11,-4.45,Among top losers,-0.05321413367390379,0.07456541628545293,-0.21200000000000063,3.622826244798363,-1
2018-11-27,3269,DHFL,EQ,2018-11-27,222.4,223.7,227.85,217.25,221.3,222.0,223.37,11852507,2647512856.9,103425,1539687,12.99,2018,11,-0.18,Slight,-0.007599463567277554,0.048791714614499396,-0.7840000000000007,3.259636482799854,-1
2018-11-28,3278,DHFL,EQ,2018-11-28,222.0,221.0,221.05,201.4,209.8,208.95,208.62,23687833,4941829007.5,223705,4247628,17.93,2018,11,-5.88,Among top losers,-0.0545248868778281,0.09756703078450847,-1.4320000000000008,3.966291718973757,-1
