,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Month,Date_Year,Day_Perc_Change,Trend
27,MUTHOOTFIN,NB,2017-05-26,1755.0,1715.1,1752.0,1715.05,1752.0,1752.0,1725.63,42,72476.5,5,32,76.19,5,2017,0.750232265411934,Slight positive
28,MUTHOOTFIN,NC,2017-05-26,1910.0,1906.0,1910.0,1906.0,1910.0,1910.0,1906.05,81,154390.0,2,81,100.0,5,2017,0.09018264840182644,Slight
30,MUTHOOTFIN,NB,2017-05-29,1752.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,10,17450.0,1,10,100.0,5,2017,-0.08638743455497377,Slight
31,MUTHOOTFIN,NF,2017-05-29,990.05,990.0,990.0,990.0,990.0,990.0,990.0,10,9900.0,1,10,100.0,5,2017,-0.4326647564469914,Slight
33,MUTHOOTFIN,NB,2017-05-30,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,20,34900.0,1,20,100.0,5,2017,0.7626262626262625,Slight positive
35,MUTHOOTFIN,NB,2017-05-31,1745.0,1746.0,1746.0,1745.0,1745.0,1745.0,1745.18,17,29668.0,2,17,100.0,5,2017,0.0,Slight
36,MUTHOOTFIN,NC,2017-05-31,1910.0,1905.11,1905.11,1905.11,1905.11,1905.11,1905.11,25,47627.75,1,25,100.0,5,2017,0.09175358166189107,Slight
38,MUTHOOTFIN,NB,2017-06-01,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,13,22685.0,2,13,100.0,6,2017,-0.0840423912529985,Slight
39,MUTHOOTFIN,NC,2017-06-01,1905.11,1907.0,1913.0,1907.0,1913.0,1913.0,1912.23,39,74577.0,5,39,100.0,6,2017,0.0962750716332379,Slight
41,MUTHOOTFIN,NC,2017-06-02,1913.0,1914.5,1920.0,1914.5,1920.0,1920.0,1915.88,20,38317.5,2,20,100.0,6,2017,0.003659174072137894,Slight
42,MUTHOOTFIN,NF,2017-06-02,990.0,925.03,1174.98,925.03,1000.0,1000.0,959.7,161,154512.35,13,125,77.64,6,2017,-0.47916666666666663,Slight
44,MUTHOOTFIN,,2017-06-05,1099.7,931.21,1100.0,931.21,1100.0,1100.0,1015.61,20,20312.1,2,10,50.0,6,2017,0.10000000000000009,Slight
45,MUTHOOTFIN,NB,2017-06-05,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,33,57585.0,1,33,100.0,6,2017,0.5863636363636364,Slight positive
47,MUTHOOTFIN,,2017-06-06,1100.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,22,22440.0,1,22,100.0,6,2017,-0.41547277936962745,Slight
48,MUTHOOTFIN,NC,2017-06-06,1920.0,1919.0,1922.55,1919.0,1922.55,1922.55,1919.2,215,412627.85,3,215,100.0,6,2017,0.8848529411764705,Slight positive
50,MUTHOOTFIN,NB,2017-06-07,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,42,73290.0,3,42,100.0,6,2017,-0.09235130425736648,Slight
51,MUTHOOTFIN,NC,2017-06-07,1922.55,1922.5,1922.95,1922.5,1922.95,1922.68,1922.58,60,115354.5,3,60,100.0,6,2017,0.10182234957020064,Slight
53,MUTHOOTFIN,N9,2017-06-08,1001.01,1039.9,1053.0,1004.2,1004.2,1004.2,1026.78,90,92410.1,7,55,61.11,6,2017,-0.4777081989722679,Slight
54,MUTHOOTFIN,NC,2017-06-08,1922.68,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,52,100152.0,1,52,100.0,6,2017,0.917944632543318,Slight positive
56,MUTHOOTFIN,NC,2017-06-09,1926.0,1933.8,1933.8,1922.5,1922.5,1922.77,1922.85,157,301886.8,6,155,98.73,6,2017,-0.0016770508826583486,Slight
57,MUTHOOTFIN,NG,2017-06-09,1000.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,200,200200.0,3,200,100.0,6,2017,-0.47939691174711485,Slight
59,MUTHOOTFIN,N9,2017-06-12,1004.2,1005.1,1005.1,1005.0,1005.0,1005.0,1005.03,400,402010.4,4,400,100.0,6,2017,0.003996003996004083,Slight
