Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty
MUTHOOTFIN,EQ,2018-09-19,444.05,447.8,475,447.65,464.15,460,464.48,3901764,1812307368.05,53998,690120,17.69
MUTHOOTFIN,NB,2018-09-19,1975,1977,1977,1977,1977,1977,1977,20,39540,1,20,100
MUTHOOTFIN,NF,2018-09-19,994.01,1094.95,1094.95,995.01,995.01,995.01,1025.62,80,82049.8,4,80,100
MUTHOOTFIN,EQ,2018-09-21,460,464.15,479.35,414,448.7,457.35,453.31,4126022,1870386743.7,59413,948509,22.99
MUTHOOTFIN,NB,2018-09-21,1977,1976,1976,1962,1962.05,1962.05,1967.65,193,379757,10,173,89.64
MUTHOOTFIN,NG,2018-09-21,1004,995,1001,995,998.05,998.05,997.88,140,139702.5,6,120,85.71
MUTHOOTFIN,EQ,2018-09-24,457.35,452,453,427.5,430.45,431.55,436.06,1143852,498790515.4,25588,225720,19.73
MUTHOOTFIN,NB,2018-09-24,1962.05,1977.99,1978,1977.99,1978,1978,1978,50,98899.8,2,50,100
MUTHOOTFIN,NF,2018-09-24,995.01,995.05,995.05,995.05,995.05,995.05,995.05,56,55722.8,1,56,100
MUTHOOTFIN,EQ,2018-09-25,431.55,430.45,438.75,413,426.95,427.65,426.31,2146742,915178498.6,34014,295659,13.77
MUTHOOTFIN,NB,2018-09-25,1978,1977.9,1978,1888,1973,1973.94,1965.49,646,1269708.45,21,595,92.11
MUTHOOTFIN,EQ,2018-09-26,427.65,430,437.6,415,431.7,432.7,426.4,1234890,526560250.65,23819,327493,26.52
MUTHOOTFIN,NB,2018-09-26,1973.94,1975,1975,1975,1975,1975,1975,8,15800,1,8,100
MUTHOOTFIN,EQ,2018-09-27,432.7,434,437.85,410,415,416,421.96,1784895,753149523.65,23177,500846,28.06
MUTHOOTFIN,NG,2018-09-27,998.05,995,995,995,995,995,995,50,49750,1,50,100
MUTHOOTFIN,EQ,2018-09-28,416,420,421.1,385.85,397.5,403.4,406.26,2024932,822650006.3,42936,568298,28.07
MUTHOOTFIN,EQ,2018-10-01,403.4,395.5,443.7,388.25,422,425.95,407.31,1048343,426996729.5,20373,245244,23.39
MUTHOOTFIN,NB,2018-10-01,1975,1983,1983,1961,1961,1961.43,1961.43,102,200066,3,100,98.04
MUTHOOTFIN,EQ,2018-10-03,425.95,415,422.7,403.4,405,407.1,410.87,1176176,483257918.35,23123,299711,25.48
MUTHOOTFIN,NB,2018-10-03,1961.43,1972.25,1980.55,1961.01,1980.55,1980.55,1971.52,40,78860.6,3,30,75
MUTHOOTFIN,EQ,2018-10-04,407.1,405,407.55,390,393.15,396.5,398.08,837063,333215628.9,17339,213002,25.45
MUTHOOTFIN,NB,2018-10-04,1980.55,1980.55,1981,1980.55,1981,1981,1980.9,129,255535.5,4,129,100
MUTHOOTFIN,NG,2018-10-04,995,1000,1000,980,1000,1000,992.18,238,236140,15,145,60.92
MUTHOOTFIN,EQ,2018-10-05,396.5,397.15,405.5,378.5,380,383.7,394.53,896852,353837991.15,17068,227022,25.31
MUTHOOTFIN,NB,2018-10-05,1981,1983,1983,1983,1983,1983,1983,21,41643,1,21,100
MUTHOOTFIN,NG,2018-10-05,1000,1000,1000,1000,1000,1000,1000,100,100000,2,100,100
MUTHOOTFIN,EQ,2018-10-08,383.7,379.7,389.35,366.7,383,380.1,380.04,901859,342739227.75,15407,242336,26.87
MUTHOOTFIN,NB,2018-10-08,1983,1981,1983,1980.01,1981,1981,1980.56,101,200036.85,6,71,70.3
MUTHOOTFIN,NG,2018-10-08,1000,1000,1000.11,1000,1000.11,1000.11,1000.04,159,159005.61,4,159,100
MUTHOOTFIN,EQ,2018-10-09,380.1,384,385,356,371.95,373.05,369.55,1208718,446686862,21943,299599,24.79
MUTHOOTFIN,NB,2018-10-09,1981,1983,1986,1983,1983,1984.5,1983.54,56,111078,4,56,100
MUTHOOTFIN,NG,2018-10-09,1000.11,997,997,997,997,997,997,23,22931,1,23,100
MUTHOOTFIN,EQ,2018-10-10,373.05,375,410,375,404.5,404.85,404.48,3176911,1285010801.35,64469,1401622,44.12
MUTHOOTFIN,NB,2018-10-10,1984.5,1981,1985,1981,1985,1985,1982.15,193,382555,5,193,100
MUTHOOTFIN,NG,2018-10-10,997,1000,1000,1000,1000,1000,1000,55,55000,2,55,100
MUTHOOTFIN,EQ,2018-10-11,404.85,380,407,378.45,401.8,397.25,399.08,1265923,505209024.05,23598,287259,22.69
MUTHOOTFIN,NB,2018-10-11,1985,1985,1985,1985,1985,1985,1985,16,31760,1,16,100
MUTHOOTFIN,EQ,2018-10-12,397.25,407.7,410.15,397.15,400.6,402.8,405.04,826244,334665098.85,27868,202679,24.53
MUTHOOTFIN,EQ,2018-10-15,402.8,403,408.05,398.4,399.2,401,403.37,494367,199411725,12305,133274,26.96
MUTHOOTFIN,EQ,2018-10-16,401,403,407.7,401.25,404.05,404.8,404.79,384079,155471277.55,15609,134255,34.96
MUTHOOTFIN,EQ,2018-10-17,404.8,410,412.2,397.6,402,402.6,402.51,482188,194085269.35,9478,104585,21.69
MUTHOOTFIN,NG,2018-10-17,1000,996,996,996,996,996,996,150,149400,1,150,100
MUTHOOTFIN,EQ,2018-10-19,402.6,397,404.45,367.2,380.35,379.4,382.93,1103180,422445479.2,21926,413574,37.49
MUTHOOTFIN,NG,2018-10-19,996,997.01,997.01,997.01,997.01,997.01,997.01,100,99701,2,100,100
MUTHOOTFIN,EQ,2018-10-22,379.4,385,406.45,378,402,399.4,397.82,1170557,465675329.05,21338,147889,12.63
MUTHOOTFIN,EQ,2018-10-23,399.4,395,406.65,389,395,396.35,399.55,712818,284804438,18054,223817,31.4
MUTHOOTFIN,EQ,2018-10-24,396.35,398.8,403.25,389.9,396,396.15,398.09,715085,284671462.4,19309,208259,29.12
MUTHOOTFIN,EQ,2018-10-25,396.15,394.7,394.7,382,390,388.95,388.42,2497249,969969464.45,20584,338615,13.56
MUTHOOTFIN,EQ,2018-10-26,388.95,388.95,400.15,387,393.4,398.75,395.55,594563,235181575.5,35612,243637,40.98
MUTHOOTFIN,EQ,2018-10-29,398.75,406.15,408,392.05,404,403.3,401.81,896203,360103347,23831,448072,50
MUTHOOTFIN,NG,2018-10-29,997.01,995,995,995,995,995,995,800,796000,2,800,100
MUTHOOTFIN,EQ,2018-10-30,403.3,403.3,404.95,390,398.5,395.7,394.99,965128,381216913.4,27240,347082,35.96
MUTHOOTFIN,NG,2018-10-30,995,1004,1004,1004,1004,1004,1004,50,50200,1,50,100
MUTHOOTFIN,EQ,2018-10-31,395.7,402.4,411.75,386.65,409.1,409.35,399.04,1231070,491243564,36258,473877,38.49
MUTHOOTFIN,EQ,2018-11-01,409.35,412.3,432.45,410,425.85,427.3,424.8,896552,380853019.25,17272,243493,27.16
MUTHOOTFIN,EQ,2018-11-02,427.3,430,445.75,430,436.5,436.4,440.32,802111,353189225.65,17402,255786,31.89
MUTHOOTFIN,EQ,2018-11-05,436.4,436.5,458.5,435,442.5,441.45,448.34,1312400,588401552.4,26252,348342,26.54
MUTHOOTFIN,EQ,2018-11-06,441.45,443.9,457,439.5,443.5,444.6,447.35,675165,302036635,13642,140222,20.77
MUTHOOTFIN,EQ,2018-11-07,444.6,444.6,449.8,444.6,446.3,447.4,447.45,73291,32793771.4,1308,28966,39.52
MUTHOOTFIN,EQ,2018-11-09,447.4,447.9,469.5,444,468,460.8,454.51,915869,416273946.8,20482,217420,23.74
MUTHOOTFIN,NG,2018-11-09,1004,1000,1003.05,1000,1003.05,1003.05,1002.87,53,53151.95,24,51,96.23
MUTHOOTFIN,EQ,2018-11-12,460.8,463.65,465.6,450,452,452,457.6,668444,305877116.45,22832,231992,34.71
MUTHOOTFIN,EQ,2018-11-13,452,449.9,454.4,442.3,451,450.65,448.78,671312,301273090.95,36844,330433,49.22
MUTHOOTFIN,EQ,2018-11-14,450.65,451.3,469,450.1,457,460,458.28,724692,332112162.35,11831,178426,24.62
MUTHOOTFIN,EQ,2018-11-15,460,459,470,452.1,466.3,467.55,461.95,535083,247179145.65,11111,180605,33.75
MUTHOOTFIN,EQ,2018-11-16,467.55,469.7,469.7,453.3,461.35,460.9,460.67,515117,237299633.65,12898,177337,34.43
MUTHOOTFIN,EQ,2018-11-19,460.9,458.1,472.9,457.6,462.4,461.1,465.4,428383,199369039,9770,73865,17.24
MUTHOOTFIN,EQ,2018-11-20,461.1,464,466.2,450,454.8,453.05,457.6,505017,231096136.5,11080,144295,28.57
MUTHOOTFIN,EQ,2018-11-21,453.05,451.35,455.45,446,453.25,452.8,450.35,848601,382170931.55,16449,241615,28.47
MUTHOOTFIN,EQ,2018-11-22,452.8,453.2,461.85,452.1,455.4,453.85,456.57,538913,246050039.3,13094,190806,35.41
MUTHOOTFIN,EQ,2018-11-26,453.85,455.05,461.45,448,457.55,459.05,454.69,369859,168173019,6625,96263,26.03
MUTHOOTFIN,EQ,2018-11-27,459.05,459,465.8,450.75,461.4,462.15,460.77,670377,308888007.9,15442,305265,45.54
MUTHOOTFIN,NG,2018-11-27,1003.05,1000,1000,1000,1000,1000,1000,51,51000,2,51,100
MUTHOOTFIN,EQ,2018-11-28,462.15,458.25,466.3,450.3,452.4,452.35,457.45,477504,218432879.5,14286,133241,27.9
MUTHOOTFIN,NG,2018-11-28,1000,996.05,996.05,996,996,996,996,400,398400.5,4,400,100
MUTHOOTFIN,EQ,2018-11-29,452.35,455.3,456.7,435.05,446.8,445.6,443.64,973918,432064322.5,24834,378617,38.88
