Date,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
2017-08-30,DRREDDY,EQ,2017-08-30,2042.05,2047.0,2074.4,2031.4,2033.0,2038.9,2055.64,401449,825236192.4,20906,133879,33.35,2017,8,-0.15,Slight,0.059121684761049655,2106.1238095238105,2329.405882352941,HODL,2012.0857142857149,42.45703904932964,2096.999792384374,1927.1716361870556
2017-08-31,DRREDDY,EQ,2017-08-31,2038.9,2044.0,2051.7,2006.0,2017.55,2020.9,2024.27,837809,1695950603.8,34811,353188,42.16,2017,8,-0.88,Slight negative,0.05100793912879263,2088.8714285714295,2309.723529411764,HODL,2010.1250000000007,41.27075119073188,2092.6665023814644,1927.583497618537
2017-09-01,DRREDDY,EQ,2017-09-01,2020.9,2115.0,2233.0,2115.0,2212.0,2217.55,2182.67,3613589,7887276769.8,122958,1176466,32.56,2017,9,9.73,Bull run,0.10425063508497186,2078.6809523809534,2295.7102941176463,HODL,2029.6321428571434,65.35529996501879,2160.342742787181,1898.9215429271057
2017-09-04,DRREDDY,EQ,2017-09-04,2217.55,2234.0,2236.4,2173.25,2181.9,2195.1,2197.67,947235,2081705870.45,42018,180843,19.09,2017,9,-1.01,Negative,0.10704626134929232,2069.945238095239,2280.772058823529,HODL,2042.771428571429,78.51905627173105,2199.809541114891,1885.7333160279668
2017-09-05,DRREDDY,EQ,2017-09-05,2195.1,2198.3,2218.35,2181.9,2203.0,2209.15,2204.59,513527,1132114828.1,21785,179184,34.89,2017,9,0.64,Slight positive,0.10537198006507308,2064.4785714285726,2266.4161764705877,HODL,2057.564285714286,89.05838281403709,2235.68105134236,1879.447520086212
2017-09-06,DRREDDY,EQ,2017-09-06,2209.15,2185.35,2208.0,2175.75,2191.35,2196.9,2193.9,527252,1156736933.3,31659,228954,43.42,2017,9,-0.55,Slight negative,0.10219718925636849,2062.4476190476203,2251.0617647058816,HODL,2071.2535714285723,94.93408536025296,2261.1217421490783,1881.3854007080663
2017-09-07,DRREDDY,EQ,2017-09-07,2196.9,2204.0,2235.0,2201.0,2215.0,2224.95,2221.3,491394,1091533618.45,26753,199224,40.54,2017,9,1.28,Positive,0.10085144838722816,2063.304761904763,2234.913235294117,HODL,2086.517857142858,101.49741680522125,2289.5126907533004,1883.5230235324152
2017-09-08,DRREDDY,EQ,2017-09-08,2224.95,2229.0,2229.0,2066.15,2161.0,2162.5,2156.71,1719424,3708296004.85,67014,435110,25.31,2017,9,-2.81,Negative,0.10848832903414703,2066.4880952380963,2217.6308823529403,HODL,2099.410714285715,98.62304922234456,2296.6568127304045,1902.164615841026
2017-09-11,DRREDDY,EQ,2017-09-11,2162.5,2169.0,2198.0,2154.0,2155.95,2159.5,2175.08,445377,968731294.2,31342,153901,34.56,2017,9,-0.14,Slight,0.10729997347280398,2071.7809523809533,2199.894117647058,HODL,2115.725000000001,86.82458830663265,2289.374176613266,1942.0758233867355
2017-09-12,DRREDDY,EQ,2017-09-12,2159.5,2165.0,2197.4,2135.4,2162.15,2165.75,2164.65,517997,1121284554.7,30693,117098,22.61,2017,9,0.29,Slight,0.03515580883056828,2082.319047619049,2184.285294117646,HODL,2128.6964285714294,78.85504096926569,2286.4065105099608,1970.986346632898
