,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
45,M&amp;M,EQ,2017-07-18,1384.6,1381.95,1401.95,1377.0,1383.5,1380.15,1385.23,822868,1139863650.65,21635,583077,70.86,2017,7,-0.32,Slight
46,M&amp;M,EQ,2017-07-19,1380.15,1388.0,1393.0,1377.15,1381.25,1382.4,1383.72,1897894,2626152654.45,32733,1576431,83.06,2017,7,0.16,Slight
47,M&amp;M,EQ,2017-07-20,1382.4,1387.0,1397.8,1381.3,1391.0,1393.45,1390.38,902218,1254424095.6,26288,636732,70.57,2017,7,0.8,Slight positive
48,M&amp;M,EQ,2017-07-21,1393.45,1394.0,1398.0,1365.75,1382.5,1386.05,1382.3,700993,968981558.95,25040,384806,54.89,2017,7,-0.53,Slight negative
49,M&amp;M,EQ,2017-07-24,1386.05,1385.8,1391.95,1375.0,1390.0,1388.95,1386.45,580661,805057683.25,17896,412851,71.1,2017,7,0.21,Slight
50,M&amp;M,EQ,2017-07-25,1388.95,1391.2,1396.1,1386.3,1389.8,1389.8,1390.25,720938,1002282593.95,31303,524103,72.7,2017,7,0.06,Slight
51,M&amp;M,EQ,2017-07-26,1389.8,1390.7,1420.2,1389.05,1413.5,1413.5,1410.26,1267793,1787917805.05,54494,808931,63.81,2017,7,1.71,Positive
52,M&amp;M,EQ,2017-07-27,1413.5,1420.0,1423.75,1395.0,1402.0,1398.2,1404.81,1933565,2716291896.3,54857,1556956,80.52,2017,7,-1.08,Negative
53,M&amp;M,EQ,2017-07-28,1398.2,1398.0,1398.0,1376.25,1383.1,1392.2,1389.58,401658,558135356.55,24883,207552,51.67,2017,7,-0.43,Slight
54,M&amp;M,EQ,2017-07-31,1392.2,1393.3,1409.0,1380.1,1406.0,1403.3,1397.12,510904,713794219.2,22932,260406,50.97,2017,7,0.8,Slight positive
55,M&amp;M,EQ,2017-08-01,1403.3,1415.0,1433.4,1403.3,1429.95,1429.25,1423.41,1941740,2763895765.0,34253,1415781,72.91,2017,8,1.85,Positive
56,M&amp;M,EQ,2017-08-02,1429.25,1430.6,1433.65,1408.3,1410.0,1414.6,1419.34,476469,676272724.1,21874,236693,49.68,2017,8,-1.03,Negative
57,M&amp;M,EQ,2017-08-03,1414.6,1418.4,1421.65,1404.1,1416.55,1416.5,1413.36,563019,795747380.3,31095,285835,50.77,2017,8,0.13,Slight
58,M&amp;M,EQ,2017-08-04,1416.5,1420.0,1424.4,1395.1,1419.0,1418.05,1406.9,2237324,3147688738.05,49015,1082782,48.4,2017,8,0.11,Slight
59,M&amp;M,EQ,2017-08-07,1418.05,1390.0,1430.0,1384.95,1401.0,1400.75,1409.03,1493977,2105063229.3,46100,774724,51.86,2017,8,-1.22,Negative
